iter,loss,Acc,mean image rate
1,7.092,0,401.976 img/s).
2,6.195,0.008,464.608 img/s).
3,5.834,0.004,706.705 img/s).
4,5.516,0.023,767.825 img/s).
5,5.33,0.012,717.068 img/s).
6,5.218,0.016,714.268 img/s).
7,5.244,0.008,738.319 img/s).
8,5.279,0.012,446.670 img/s).
9,5.111,0.027,615.587 img/s).
10,5.074,0.012,659.098 img/s).
11,4.826,0.047,715.913 img/s).
12,4.77,0.035,734.490 img/s).
13,4.782,0.043,724.318 img/s).
14,4.724,0.043,767.366 img/s).
15,4.653,0.047,762.436 img/s).
16,4.528,0.035,663.429 img/s).
17,4.426,0.086,760.803 img/s).
18,4.476,0.09,761.550 img/s).
19,4.529,0.059,755.136 img/s).
20,4.188,0.141,570.181 img/s).
21,4.216,0.102,755.486 img/s).
22,4.269,0.133,662.839 img/s).
23,4.07,0.141,744.475 img/s).
24,4.072,0.098,753.999 img/s).
25,4.138,0.09,738.879 img/s).
26,3.985,0.145,688.283 img/s).
27,4.032,0.141,688.314 img/s).
28,3.867,0.133,749.327 img/s).
29,4.138,0.113,716.416 img/s).
30,4.05,0.113,699.229 img/s).
31,4.001,0.152,729.746 img/s).
32,3.882,0.168,702.133 img/s).
33,3.94,0.109,798.353 img/s).
34,3.777,0.188,712.293 img/s).
35,4.161,0.105,736.130 img/s).
36,3.925,0.129,748.967 img/s).
37,3.75,0.168,675.360 img/s).
38,3.887,0.145,733.639 img/s).
39,3.906,0.129,736.755 img/s).
40,3.797,0.191,720.397 img/s).
41,4.004,0.133,742.740 img/s).
42,3.803,0.148,716.254 img/s).
43,3.666,0.176,695.317 img/s).
44,3.762,0.184,762.571 img/s).
45,3.611,0.164,524.383 img/s).
46,3.935,0.121,737.697 img/s).
47,3.64,0.195,717.723 img/s).
48,3.594,0.203,730.732 img/s).
49,3.721,0.145,643.176 img/s).
50,4.059,0.125,704.957 img/s).
51,3.739,0.16,734.476 img/s).
52,3.807,0.164,785.196 img/s).
53,3.675,0.152,696.495 img/s).
54,3.622,0.188,651.404 img/s).
55,3.611,0.199,736.766 img/s).
56,3.516,0.211,717.223 img/s).
57,3.666,0.195,771.728 img/s).
58,3.329,0.227,707.062 img/s).
59,3.546,0.168,679.457 img/s).
60,3.557,0.16,733.716 img/s).
61,3.66,0.172,643.418 img/s).
62,3.577,0.203,693.206 img/s).
63,3.546,0.184,776.217 img/s).
64,3.35,0.211,712.779 img/s).
65,3.465,0.203,601.270 img/s).
66,3.606,0.188,683.167 img/s).
67,3.505,0.219,764.565 img/s).
68,3.577,0.152,605.417 img/s).
69,3.606,0.164,421.037 img/s).
70,3.363,0.195,658.328 img/s).
71,3.422,0.219,749.298 img/s).
72,3.775,0.148,751.821 img/s).
73,3.582,0.195,771.435 img/s).
74,3.434,0.254,712.075 img/s).
75,3.515,0.195,693.283 img/s).
76,3.427,0.215,652.306 img/s).
77,3.506,0.219,776.575 img/s).
78,3.556,0.191,648.325 img/s).
79,3.456,0.199,553.255 img/s).
80,3.489,0.164,745.470 img/s).
81,3.57,0.195,690.385 img/s).
82,3.538,0.195,744.538 img/s).
83,3.327,0.215,729.819 img/s).
84,3.399,0.207,704.377 img/s).
85,3.511,0.195,775.166 img/s).
86,3.441,0.246,727.772 img/s).
87,3.369,0.223,730.505 img/s).
88,3.378,0.234,656.696 img/s).
89,3.56,0.191,731.666 img/s).
90,3.458,0.18,721.435 img/s).
91,3.52,0.184,764.372 img/s).
92,3.591,0.176,728.963 img/s).
93,3.251,0.246,642.376 img/s).
94,3.394,0.211,691.800 img/s).
95,3.221,0.211,767.849 img/s).
96,3.52,0.211,718.926 img/s).
97,3.523,0.219,778.770 img/s).
98,3.161,0.266,577.038 img/s).
99,3.428,0.254,766.238 img/s).
100,3.418,0.203,756.386 img/s).
101,3.327,0.215,741.308 img/s).
102,3.402,0.234,698.693 img/s).
103,3.255,0.254,696.605 img/s).
104,3.233,0.238,766.710 img/s).
105,3.409,0.195,744.478 img/s).
106,3.309,0.238,724.053 img/s).
107,3.147,0.27,755.105 img/s).
108,3.331,0.219,675.291 img/s).
109,3.461,0.238,747.716 img/s).
110,3.294,0.262,784.785 img/s).
111,3.343,0.211,727.834 img/s).
112,3.427,0.211,759.441 img/s).
113,3.382,0.211,506.387 img/s).
114,3.502,0.199,719.904 img/s).
115,3.331,0.234,751.947 img/s).
116,3.394,0.25,716.364 img/s).
117,3.413,0.203,745.668 img/s).
118,3.413,0.23,724.941 img/s).
119,3.502,0.207,708.416 img/s).
120,3.315,0.219,749.991 img/s).
121,3.567,0.191,724.607 img/s).
122,3.447,0.199,698.726 img/s).
123,3.247,0.223,747.545 img/s).
124,3.642,0.188,788.835 img/s).
125,3.632,0.191,708.013 img/s).
126,3.345,0.234,764.966 img/s).
127,3.533,0.207,676.039 img/s).
128,3.38,0.23,720.112 img/s).
129,3.434,0.219,723.245 img/s).
130,3.487,0.234,688.545 img/s).
131,3.294,0.27,755.960 img/s).
132,3.119,0.289,749.556 img/s).
133,3.612,0.23,679.008 img/s).
134,3.467,0.215,782.370 img/s).
135,3.654,0.203,719.330 img/s).
136,3.419,0.207,721.459 img/s).
137,3.361,0.25,726.510 img/s).
138,3.395,0.199,773.327 img/s).
139,3.374,0.242,715.310 img/s).
140,3.259,0.242,757.189 img/s).
141,3.485,0.211,705.354 img/s).
142,3.079,0.25,743.362 img/s).
143,3.586,0.172,764.661 img/s).
144,3.413,0.246,726.810 img/s).
145,3.49,0.219,733.660 img/s).
146,3.407,0.219,726.372 img/s).
