GPU,epoch,train_acc,train_loss,valid_acc,valid_loss,time_per_epoch
1,1,8.75E-01,4.11E-01,9.26E-01,2.66E-01,8.49E+00
1,2,9.26E-01,2.95E-01,9.50E-01,1.66E-01,2.12E+00
1,3,9.38E-01,2.14E-01,9.65E-01,1.17E-01,2.12E+00
1,4,9.57E-01,1.18E-01,9.72E-01,9.03E-02,2.12E+00
1,5,9.57E-01,1.48E-01,9.77E-01,7.37E-02,2.12E+00
1,6,9.77E-01,8.41E-02,9.79E-01,6.49E-02,2.12E+00
1,7,9.49E-01,1.38E-01,9.82E-01,5.65E-02,2.12E+00
1,8,9.77E-01,7.29E-02,9.83E-01,5.05E-02,2.12E+00
1,9,9.69E-01,7.17E-02,9.84E-01,4.74E-02,2.11E+00
1,10,9.88E-01,3.90E-02,9.85E-01,4.48E-02,2.11E+00
1,11,9.84E-01,4.91E-02,9.86E-01,4.31E-02,2.12E+00
1,12,9.80E-01,9.91E-02,9.86E-01,3.93E-02,2.11E+00
1,13,9.80E-01,7.12E-02,9.87E-01,4.06E-02,2.11E+00
1,14,9.88E-01,4.34E-02,9.87E-01,3.68E-02,2.13E+00
1,15,9.92E-01,3.89E-02,9.88E-01,3.59E-02,2.16E+00
1,16,9.92E-01,3.22E-02,9.87E-01,3.59E-02,2.23E+00
2,1,8.09E-01,6.50E-01,7.89E-01,7.19E-01,8.45E+00
2,2,8.65E-01,4.41E-01,8.42E-01,5.30E-01,1.47E+00
2,3,8.77E-01,4.57E-01,8.61E-01,4.59E-01,8.30E-01
2,4,9.02E-01,3.49E-01,8.74E-01,4.17E-01,1.49E+00
2,5,9.02E-01,3.49E-01,8.87E-01,3.82E-01,1.50E+00
2,6,9.08E-01,2.68E-01,8.91E-01,3.60E-01,8.94E-01
2,7,9.10E-01,2.99E-01,8.97E-01,3.46E-01,8.87E-01
2,8,9.26E-01,2.60E-01,9.01E-01,3.38E-01,1.48E+00
2,9,9.36E-01,2.62E-01,9.14E-01,3.11E-01,1.47E+00
2,10,9.41E-01,1.98E-01,9.18E-01,2.96E-01,9.14E-01
2,11,9.12E-01,2.43E-01,9.21E-01,2.85E-01,1.56E+00
2,12,9.55E-01,1.39E-01,9.24E-01,2.69E-01,1.49E+00
2,13,9.49E-01,1.57E-01,9.29E-01,2.69E-01,9.28E-01
2,14,9.55E-01,1.59E-01,9.32E-01,2.50E-01,1.48E+00
2,15,9.57E-01,1.13E-01,9.31E-01,2.45E-01,8.15E-01
2,16,9.69E-01,8.61E-02,9.35E-01,2.35E-01,2.06E+00
4,1,5.46E-01,1.47E+00,7.52E-01,1.33E+00,1.24E+01
4,2,7.14E-01,8.63E-01,8.24E-01,7.05E-01,5.67E-01
4,3,8.02E-01,6.18E-01,8.54E-01,5.38E-01,5.67E-01
4,4,8.18E-01,5.55E-01,8.81E-01,4.56E-01,5.69E-01
4,5,8.48E-01,5.19E-01,8.93E-01,4.16E-01,5.65E-01
4,6,8.40E-01,5.11E-01,8.96E-01,3.99E-01,5.61E-01
4,7,8.59E-01,4.60E-01,9.02E-01,3.65E-01,5.68E-01
4,8,8.73E-01,4.53E-01,9.14E-01,3.44E-01,7.68E-01
4,9,8.96E-01,3.65E-01,9.08E-01,3.35E-01,5.66E-01
4,10,8.89E-01,3.79E-01,9.14E-01,3.15E-01,5.68E-01
4,11,8.82E-01,3.89E-01,9.26E-01,2.97E-01,5.67E-01
4,12,8.94E-01,3.95E-01,9.20E-01,2.84E-01,5.77E-01
4,13,8.96E-01,3.22E-01,9.26E-01,2.74E-01,5.43E-01
4,14,9.06E-01,3.23E-01,9.18E-01,2.75E-01,5.68E-01
4,15,9.01E-01,3.19E-01,9.28E-01,2.60E-01,5.66E-01
4,16,9.01E-01,3.49E-01,9.24E-01,2.67E-01,5.64E-01
8,1,2.41E-01,2.20E+00,0.00E+00,0.00E+00,1.68E+01
8,2,3.62E-01,1.96E+00,0.00E+00,0.00E+00,4.64E-01
8,3,4.67E-01,1.67E+00,0.00E+00,0.00E+00,4.68E-01
8,4,5.59E-01,1.41E+00,0.00E+00,0.00E+00,4.63E-01
8,5,6.13E-01,1.18E+00,0.00E+00,0.00E+00,4.63E-01
8,6,6.61E-01,1.06E+00,0.00E+00,0.00E+00,4.67E-01
8,7,6.96E-01,9.34E-01,0.00E+00,0.00E+00,4.70E-01
8,8,7.02E-01,8.93E-01,0.00E+00,0.00E+00,4.62E-01
8,9,7.50E-01,7.56E-01,0.00E+00,0.00E+00,4.67E-01
8,10,7.72E-01,7.07E-01,0.00E+00,0.00E+00,4.66E-01
8,11,7.79E-01,7.14E-01,0.00E+00,0.00E+00,4.64E-01
8,12,7.82E-01,6.83E-01,0.00E+00,0.00E+00,4.64E-01
8,13,8.13E-01,5.92E-01,0.00E+00,0.00E+00,4.68E-01
8,14,8.18E-01,5.60E-01,0.00E+00,0.00E+00,4.68E-01
8,15,8.14E-01,5.74E-01,0.00E+00,0.00E+00,4.63E-01
8,16,8.27E-01,5.29E-01,0.00E+00,0.00E+00,4.67E-01
